key,id,name,kana,type,sort_level,grade,group_join,permit,del
nckimport,248,営五部_第二班,営五部_第二班,1,211,,2,0,0
nckimport,247,営五部_第一班,営五部_第一班,1,210,,2,0,0
nckimport,245,営四部_総合事務班,営四部_総合事務班,1,209,,2,0,0
nckimport,244,営四部_第四班,営四部_第四班,1,208,,2,0,0
nckimport,243,営四部_第三班,営四部_第三班,1,207,,2,0,0
nckimport,242,営四部_第二班,営四部_第二班,1,206,,2,0,0
nckimport,241,営四部_第一班,営四部_第一班,1,205,,2,0,0
nckimport,239,営三部_総合事務班,営三部_総合事務班,1,204,,2,0,0
nckimport,238,営三部_企業班第四,営三部_企業班第四,1,203,,2,0,0
nckimport,237,営三部_企業班第三,営三部_企業班第三,1,202,,2,0,0
nckimport,236,営三部_企業班第二,営三部_企業班第二,1,201,,2,0,0
nckimport,235,営三部_企業班第一,営三部_企業班第一,1,200,,2,0,0
nckimport,233,営二部_総合事務班,営二部_総合事務班,1,199,,2,0,0
